Energy supply [PWh];LCOE_Uniform discount rate [$/MWh];Energy supply [PWh];LCOE_Country-specific discount rate [$/MWh];World demand [PWh]
43.45515137;13.26516059;35.47702048;15.82138844;
43.6710003;13.26557226;35.48592487;15.82980529;
43.67593961;13.26636221;35.48596889;15.82989785;
43.71135135;13.26689692;35.49350389;15.83864088;
43.85751993;13.27057594;35.49370124;15.8396601;
43.88585696;13.27193673;35.4937929;15.8419606;
43.97341244;13.27313208;35.4940815;15.85067047;
44.00284608;13.27525651;35.49434524;15.85222795;
44.01131288;13.27617221;35.49437317;15.85483816;
44.02041246;13.2773053;35.49438616;15.85726094;
44.03973187;13.27759015;35.49750068;15.87254127;
44.05490575;13.27773087;35.49752188;15.87364166;
44.05644784;13.2793649;35.49966264;15.87607133;
44.06484192;13.28051995;35.49990873;15.87902333;
44.06486273;13.28200748;35.62909521;15.87910694;
44.07297047;13.28928727;35.63465808;15.88008448;
44.10625117;13.30034589;35.63466085;15.88667451;
44.10632627;13.30491121;35.84637027;15.88879971;
44.10830778;13.31582822;35.84828669;15.89534934;
44.1103479;13.32828524;35.848366;15.89716092;
44.12803158;13.32991683;35.86631828;15.89754918;
44.13173194;13.3407818;35.88194522;15.90151035;
44.13197267;13.34251468;35.88194815;15.90666586;
44.13358984;13.34351029;35.88228507;15.90733544;
44.14696402;13.3490461;35.95557263;15.90839714;
44.15556569;13.35155719;35.99451808;15.90889591;
44.20195163;13.36059268;36.35447489;15.91042597;
44.2113647;13.36250504;36.35519488;15.91614557;
44.22999621;13.36394289;36.37692882;15.92107299;
44.28231497;13.36456123;36.37890027;15.92526755;
44.32121259;13.36799329;36.38303866;15.92700328;
44.33213399;13.36817954;36.38304142;15.92758995;
44.41507713;13.36954663;36.38304727;15.92773288;
44.47938335;13.36961076;36.40290479;15.93327165;
44.49363105;13.37184336;36.40290755;15.93458335;
44.5617634;13.37231521;36.4030017;15.93507372;
44.56516848;13.37253444;36.46926686;15.94398751;
44.65261571;13.37271884;36.46932514;15.94412855;
44.67174706;13.37437632;36.47196307;15.94606088;
44.69894769;13.37447111;36.52206904;15.94804794;
44.75499044;13.37495917;36.5276402;15.94915372;
44.8858281;13.3752215;36.70817909;15.95459037;
44.9550226;13.37525717;36.70993367;15.95561311;
45.1238709;13.37748338;36.79287681;15.95660797;
45.126119;13.37765769;36.90328717;15.95938708;
45.42656712;13.37812286;36.94533704;15.95955191;
45.43422111;13.3793345;37.17581413;15.960303;
45.6404456;13.37958902;37.22463392;15.9605987;
45.64046626;13.37984003;37.25363674;15.97403873;
45.69744355;13.38009665;37.25364033;15.9769834;
45.71810565;13.38238056;37.27712202;15.97793457;
45.76875385;13.38257516;37.27749806;15.9981176;
45.94620474;13.38296757;37.28173112;16.00259692;
45.9812901;13.38361409;37.28173387;16.00280802;
46.01316126;13.38376077;37.28682401;16.00331226;
46.11855558;13.38502057;37.29319898;16.01182844;
46.15837103;13.3850457;37.30980048;16.02821882;
46.20939581;13.38548694;37.31112065;16.0419023;
46.54034349;13.38613945;37.31642735;16.04574149;
46.55283601;13.38629627;37.35641952;16.04804203;
46.58191014;13.38634356;37.35646604;16.04958717;
46.5871854;13.38724813;37.37751801;16.05608998;
46.65055151;13.38726538;37.38045981;16.05634076;
47.12836466;13.38801801;37.3805418;16.05847261;
47.19709174;13.38833968;37.39209409;16.06054585;
47.31007683;13.38858782;37.3921023;16.06203241;
47.42830203;13.38888369;37.86316686;16.0659125;
47.46624414;13.3895701;37.8633426;16.06826759;
47.49894122;13.38960261;37.91975224;16.07037591;
47.54202867;13.39711979;37.92036045;16.07276066;
47.56072533;13.39846756;38.24578493;16.07433575;
47.67159837;13.40285967;38.24791168;16.0768449;
47.67493731;13.40492347;38.29745613;16.07741781;
47.68382911;13.4097119;38.2994522;16.08675884;
47.68863244;13.41154961;38.33411153;16.09080044;
47.68924249;13.41484828;38.42140699;16.09241807;
47.69230442;13.45294813;38.44188528;16.09272817;
47.70633802;13.47071554;38.44191385;16.09572785;
47.70969957;13.47124346;38.44200059;16.09616933;
47.71206092;13.47760261;38.46651769;16.09685846;
47.72230753;13.48084768;38.46662641;16.09869381;
47.72316545;13.48900011;38.46713631;16.10091785;
47.76664468;13.49129506;38.47055441;16.10167724;
47.80424789;13.49240108;38.51752763;16.10293927;
47.80634426;13.49251012;38.51778251;16.10352266;
47.89745758;13.49362275;38.52623691;16.10353146;
47.97224419;13.49526584;38.52628223;16.10957057;
48.02600099;13.49662213;38.52892181;16.11288847;
48.07011845;13.49725314;38.53097162;16.12268248;
48.09303961;13.49750136;38.55293052;16.12498282;
48.14989786;13.49987086;38.64104082;16.12602896;
48.16276105;13.50017491;38.64108589;16.12904773;
48.21551503;13.50053062;38.76069682;16.13130452;
48.22906908;13.50082791;38.79892378;16.13326094;
48.26547301;13.50282669;39.00504886;16.13544197;
48.38063489;13.50284942;39.23971177;16.13875424;
48.42339116;13.50316506;39.36421203;16.14349606;
48.5626031;13.5042615;39.39621558;16.14697354;
48.56987019;13.50485343;39.43022616;16.14862035;
48.6358261;13.50491662;39.43076525;16.15283555;
48.73796122;13.50791832;39.43077808;16.15530317;
48.88652637;13.50814692;39.43092513;16.16019991;
49.2377717;13.50845702;39.43093873;16.16263853;
49.76983565;13.50865674;39.43534162;16.18289535;
49.82646197;13.50874957;39.4353585;16.1836665;
49.87636988;13.50886774;39.43538301;16.18441138;
49.87641153;13.50923719;39.43538545;16.18998693;
50.09391814;13.50943667;39.44969973;16.19180921;
50.09517047;13.51067461;39.45497482;16.19544135;
50.18328077;13.51149921;39.45499819;16.19876757;
50.22748641;13.51177585;39.45501495;16.20106099;
50.26308272;13.51383159;39.45844202;16.21759643;
50.32454212;13.51492345;39.45850804;16.21956071;
50.32964989;13.51569599;39.45943405;16.22045965;
50.46852593;13.51589308;39.49088486;16.22055791;
50.79385408;13.51823466;39.84023818;16.23219229;
50.90769699;13.51969449;39.89038256;16.23897778;
51.05519369;13.52027784;39.92006657;16.24035276;
51.06964809;13.52156133;40.21974146;16.24099574;
51.06966047;13.5228061;40.24433305;16.2443896;
51.0890193;13.52362409;40.24433733;16.24808462;
51.09655734;13.52411169;40.25602423;16.25303111;
51.09663188;13.5243797;40.33936489;16.25488937;
